id,crop_name_en,soil_vwc_min_pct,soil_vwc_max_pct,soil_temp_min_c,soil_temp_max_c,soil_ph_min,soil_ph_max
1,Paddy rice,70,90,24,32,5.0,6.5
2,Corn,25,40,24,30,5.5,7.0
3,Sweet potato,25,40,24,30,5.6,6.6
4,Yam,30,45,24,30,5.5,6.5
5,Sugarcane,25,40,25,32,5.0,7.5
6,Sago palm,45,65,25,32,4.5,6.5
7,Oil palm,25,40,24,32,4.0,6.5
8,Sarawak pepper,25,40,24,30,5.0,6.5
9,Rubber,25,40,24,30,4.5,6.5
10,Coconut,25,40,24,32,5.0,8.0
11,Durian,30,45,24,30,5.0,6.5
12,Dabai,25,40,24,30,5.0,6.5
13,Rambutan,30,45,24,30,5.0,6.5
14,Langsat,30,45,24,30,5.0,6.5
15,Cempedak,30,45,24,30,5.0,6.5
16,Chilli,30,45,24,30,5.5,6.8
17,Lady finger,30,45,24,30,5.5,7.0
18,Long bean,30,45,24,30,5.5,6.8
19,Eggplant,30,45,24,30,5.5,6.8
20,Kangkung,40,60,24,30,5.5,7.0
21,Onion,25,40,18,25,6.0,7.0
22,Bitter gourd,30,45,24,30,5.5,7.0
23,Pumpkin,30,45,21,30,5.5,7.0
24,Kailan,30,45,20,28,6.0,7.0
25,Cucumber,30,45,24,30,5.5,7.0
26,Mango,25,40,24,30,5.5,7.5
27,Guava,25,40,23,30,5.0,7.0
28,Banana,35,55,25,30,5.5,7.0
29,Papaya,30,45,24,30,5.5,7.0
30,Dragon fruit,20,35,20,30,5.5,7.0
